ScenarioID,Iteration,Timestep,TertiaryStratumID,StockGroupID,Amount
128,1,2001,Bureau of Land Management,Atmosphere: CH4 [Type],0
128,1,2001,Bureau of Land Management,Atmosphere: CO2 [Type],0
128,1,2001,Bureau of Land Management,Atmosphere: CO [Type],0
128,1,2001,Bureau of Land Management,Biomass: Coarse Root [Type],58199605.41483322
128,1,2001,Bureau of Land Management,Biomass: Fine Root [Type],12079529.806769826
128,1,2001,Bureau of Land Management,Biomass: Foliage [Type],38672946.32866643
128,1,2001,Bureau of Land Management,Biomass: Merchantable [Type],122988741.23698317
128,1,2001,Bureau of Land Management,Biomass: Other Wood [Type],145816482.84864053
128,1,2001,Bureau of Land Management,DOM: Aboveground Fast [Type],64868180.753701925
128,1,2001,Bureau of Land Management,DOM: Aboveground Medium [Type],42256871.13137543
128,1,2001,Bureau of Land Management,DOM: Aboveground Slow [Type],233055985.87679863
128,1,2001,Bureau of Land Management,DOM: Aboveground Very Fast [Type],24187692.245531455
128,1,2001,Bureau of Land Management,DOM: Belowground Fast [Type],10362154.815775156
128,1,2001,Bureau of Land Management,DOM: Belowground Slow [Type],708423305.1013947
128,1,2001,Bureau of Land Management,DOM: Belowground Very Fast [Type],4564894.124623574
128,1,2001,Bureau of Land Management,DOM: Black Carbon [Type],0
128,1,2001,Bureau of Land Management,DOM: Snag Branch [Type],8422921.338071825
128,1,2001,Bureau of Land Management,DOM: Snag Stem [Type],14215863.994836243
128,1,2001,Bureau of Land Management,Forestry Sector [Type],0
128,1,2001,Bureau of Land Management,Atmosphere [Type],0
128,1,2001,Bureau of Land Management,Black Carbon [Type],0
128,1,2001,Bureau of Land Management,Peat [Type],0
128,1,2001,Bureau of Land Management,Biomass: Aboveground,307478170.4142901
128,1,2001,Bureau of Land Management,Biomass: Belowground,70279135.22160305
128,1,2001,Bureau of Land Management,Biomass: Total,377757305.63589305
128,1,2001,Bureau of Land Management,DOM: Aboveground,22638785.33290809
128,1,2001,Bureau of Land Management,DOM: Belowground,1087719084.0492008
128,1,2001,Bureau of Land Management,DOM: Total,1110357869.3821058
128,1,2001,Bureau of Land Management,Total Ecosystem,1488115175.0180013
128,1,2001,Bureau of Land Management,DOM: Deadwood,75257811.28005871
128,1,2001,Bureau of Land Management,DOM: Litter,322111858.876032
128,1,2001,Bureau of Land Management,DOM: Soil,712988199.2260182
128,1,2001,Bureau of Land Management,DOM: Standing Deadwood,22638785.33290809
128,1,2001,Bureau of Land Management,DOM: Down Deadwood,52619025.94715059
128,1,2001,Bureau of Reclamation,Atmosphere: CH4 [Type],0
128,1,2001,Bureau of Reclamation,Atmosphere: CO2 [Type],0
128,1,2001,Bureau of Reclamation,Atmosphere: CO [Type],0
128,1,2001,Bureau of Reclamation,Biomass: Coarse Root [Type],233115.43915569782
128,1,2001,Bureau of Reclamation,Biomass: Fine Root [Type],50067.92991682887
128,1,2001,Bureau of Reclamation,Biomass: Foliage [Type],108712.6998692751
128,1,2001,Bureau of Reclamation,Biomass: Merchantable [Type],321758.84017050266
128,1,2001,Bureau of Reclamation,Biomass: Other Wood [Type],537080.5379465222
128,1,2001,Bureau of Reclamation,DOM: Aboveground Fast [Type],301905.779337883
128,1,2001,Bureau of Reclamation,DOM: Aboveground Medium [Type],150370.29013633728
128,1,2001,Bureau of Reclamation,DOM: Aboveground Slow [Type],1277357.1642875671
128,1,2001,Bureau of Reclamation,DOM: Aboveground Very Fast [Type],132934.4007320702
128,1,2001,Bureau of Reclamation,DOM: Belowground Fast [Type],57199.669624865055
128,1,2001,Bureau of Reclamation,DOM: Belowground Slow [Type],3494096.954727173
128,1,2001,Bureau of Reclamation,DOM: Belowground Very Fast [Type],11546.740007586777
128,1,2001,Bureau of Reclamation,DOM: Black Carbon [Type],0
128,1,2001,Bureau of Reclamation,DOM: Snag Branch [Type],54948.84019439851
128,1,2001,Bureau of Reclamation,DOM: Snag Stem [Type],111290.07014279341
128,1,2001,Bureau of Reclamation,Forestry Sector [Type],0
128,1,2001,Bureau of Reclamation,Atmosphere [Type],0
128,1,2001,Bureau of Reclamation,Black Carbon [Type],0
128,1,2001,Bureau of Reclamation,Peat [Type],0
128,1,2001,Bureau of Reclamation,Biomass: Aboveground,967552.0779863
128,1,2001,Bureau of Reclamation,Biomass: Belowground,283183.3690725267
128,1,2001,Bureau of Reclamation,Biomass: Total,1250735.4470588267
128,1,2001,Bureau of Reclamation,DOM: Aboveground,166238.91033719192
128,1,2001,Bureau of Reclamation,DOM: Belowground,5425410.998853482
128,1,2001,Bureau of Reclamation,DOM: Total,5591649.909190674
128,1,2001,Bureau of Reclamation,Total Ecosystem,6842385.356249503
128,1,2001,Bureau of Reclamation,DOM: Deadwood,373808.8700983942
128,1,2001,Bureau of Reclamation,DOM: Litter,1712197.3443575203
128,1,2001,Bureau of Reclamation,DOM: Soil,3505643.6947347596
128,1,2001,Bureau of Reclamation,DOM: Standing Deadwood,166238.91033719192
128,1,2001,Bureau of Reclamation,DOM: Down Deadwood,207569.95976120234
128,1,2001,Department of Defense,Atmosphere: CH4 [Type],0
128,1,2001,Department of Defense,Atmosphere: CO2 [Type],0
128,1,2001,Department of Defense,Atmosphere: CO [Type],0
128,1,2001,Department of Defense,Biomass: Coarse Root [Type],11854598.865129799
128,1,2001,Department of Defense,Biomass: Fine Root [Type],2294874.2653604597
128,1,2001,Department of Defense,Biomass: Foliage [Type],3479552.6470459998
128,1,2001,Department of Defense,Biomass: Merchantable [Type],35584870.26589862
128,1,2001,Department of Defense,Biomass: Other Wood [Type],18876313.923270255
128,1,2001,Department of Defense,DOM: Aboveground Fast [Type],4784450.797128677
128,1,2001,Department of Defense,DOM: Aboveground Medium [Type],4721890.988770127
128,1,2001,Department of Defense,DOM: Aboveground Slow [Type],26533062.748479843
128,1,2001,Department of Defense,DOM: Aboveground Very Fast [Type],2197828.7116512656
128,1,2001,Department of Defense,DOM: Belowground Fast [Type],832868.1978054345
128,1,2001,Department of Defense,DOM: Belowground Slow [Type],102304122.5101471
128,1,2001,Department of Defense,DOM: Belowground Very Fast [Type],349031.9799381308
128,1,2001,Department of Defense,DOM: Black Carbon [Type],0
128,1,2001,Department of Defense,DOM: Snag Branch [Type],954146.1424567956
128,1,2001,Department of Defense,DOM: Snag Stem [Type],2758074.193797091
128,1,2001,Department of Defense,Forestry Sector [Type],0
128,1,2001,Department of Defense,Atmosphere [Type],0
128,1,2001,Department of Defense,Black Carbon [Type],0
128,1,2001,Department of Defense,Peat [Type],0
128,1,2001,Department of Defense,Biomass: Aboveground,57940736.83621488
128,1,2001,Department of Defense,Biomass: Belowground,14149473.130490258
128,1,2001,Department of Defense,Biomass: Total,72090209.96670514
128,1,2001,Department of Defense,DOM: Aboveground,3712220.3362538866
128,1,2001,Department of Defense,DOM: Belowground,141723255.93392056
128,1,2001,Department of Defense,DOM: Total,145435476.27017447
128,1,2001,Department of Defense,Total Ecosystem,217525686.23687962
128,1,2001,Department of Defense,DOM: Deadwood,9266979.522829449
128,1,2001,Department of Defense,DOM: Litter,33515342.257259786
128,1,2001,Department of Defense,DOM: Soil,102653154.49008523
128,1,2001,Department of Defense,DOM: Standing Deadwood,3712220.3362538866
128,1,2001,Department of Defense,DOM: Down Deadwood,5554759.186575562
128,1,2001,Department of Energy,Atmosphere: CH4 [Type],0
128,1,2001,Department of Energy,Atmosphere: CO2 [Type],0
