ScenarioID,Iteration,Timestep,FlowGroupID,TransitionTypeID,Amount
128,1,2003,LULC: Mortality [Type],Ag Expansion: Cropland,146086.27285645393
128,1,2003,Net Biome Productivity,Urbanization: Open,-3540657.9535714365
128,1,2003,Net Biome Productivity,Urbanization: Low,-2158842.9923216463
128,1,2003,Net Biome Productivity,Urbanization: Medium,-1166056.3784488381
128,1,2003,Net Biome Productivity,Urbanization: High,-463341.4742545646
128,1,2003,Net Biome Productivity,Fire: High Severity,-5151100.821791188
128,1,2003,Net Biome Productivity,Fire: Medium Severity,-2855275.77584666
128,1,2003,Net Biome Productivity,Fire: Low Severity,-3727888.91006895
128,1,2003,Net Biome Productivity,Forest Harvest: Forest Clearcut,-32693162.263663266
128,1,2003,Net Biome Productivity,Forest Harvest: Forest Selection,-2433644.192813425
128,1,2003,Net Biome Productivity,Ag Expansion: Pasture,-930539.3094994616
128,1,2003,Net Biome Productivity,Ag Expansion: Cropland,-554622.2913840122
128,1,2004,LULC: Harvest [Type],Urbanization: Open,855215.2270401799
128,1,2004,LULC: Harvest [Type],Urbanization: Low,588080.3147526225
128,1,2004,LULC: Harvest [Type],Urbanization: Medium,290891.2908352517
128,1,2004,LULC: Harvest [Type],Urbanization: High,133740.4566101759
128,1,2004,LULC: Harvest [Type],Forest Harvest: Forest Clearcut,35711998.00837039
128,1,2004,LULC: Harvest [Type],Forest Harvest: Forest Selection,2495151.1109500015
128,1,2004,LULC: Harvest [Type],Ag Expansion: Pasture,511042.3984879877
128,1,2004,LULC: Harvest [Type],Ag Expansion: Cropland,249326.40635819567
128,1,2004,LULC: Emission [Type],Urbanization: Open,2447696.1927525997
128,1,2004,LULC: Emission [Type],Urbanization: Low,1689728.0453637266
128,1,2004,LULC: Emission [Type],Urbanization: Medium,863923.8058332737
128,1,2004,LULC: Emission [Type],Urbanization: High,382829.4056091141
128,1,2004,LULC: Emission [Type],Fire: High Severity,2665711.4536377224
128,1,2004,LULC: Emission [Type],Fire: Medium Severity,1482015.3393519628
128,1,2004,LULC: Emission [Type],Fire: Low Severity,2050372.4111467751
128,1,2004,LULC: Emission [Type],Ag Expansion: Pasture,564626.70769108
128,1,2004,LULC: Emission [Type],Ag Expansion: Cropland,296138.41670442803
128,1,2004,LULC: Transfer [Type],Fire: High Severity,4781785.384955859
128,1,2004,LULC: Transfer [Type],Fire: Medium Severity,1513269.3649805612
128,1,2004,LULC: Transfer [Type],Fire: Low Severity,1237541.7114971455
128,1,2004,LULC: Transfer [Type],Forest Harvest: Forest Clearcut,4088785.012172902
128,1,2004,LULC: Mortality [Type],Fire: High Severity,5378899.674344019
128,1,2004,LULC: Mortality [Type],Fire: Medium Severity,3116581.8242383404
128,1,2004,LULC: Mortality [Type],Fire: Low Severity,4333522.284545826
128,1,2004,LULC: Mortality [Type],Insect: High Severity,5518294.56975189
128,1,2004,LULC: Mortality [Type],Insect: Medium Severity,5495409.314383144
128,1,2004,LULC: Mortality [Type],Insect: Low Severity,8141181.840045156
128,1,2004,LULC: Mortality [Type],Forest Harvest: Forest Clearcut,37198026.981662475
128,1,2004,LULC: Mortality [Type],Forest Harvest: Forest Selection,2577136.182350701
128,1,2004,LULC: Mortality [Type],Ag Expansion: Pasture,270006.2298049424
128,1,2004,LULC: Mortality [Type],Ag Expansion: Cropland,137850.06596337445
128,1,2004,Net Biome Productivity,Urbanization: Open,-3302911.4197927793
128,1,2004,Net Biome Productivity,Urbanization: Low,-2277808.360116349
128,1,2004,Net Biome Productivity,Urbanization: Medium,-1154815.0966685254
128,1,2004,Net Biome Productivity,Urbanization: High,-516569.86221928993
128,1,2004,Net Biome Productivity,Fire: High Severity,-2665711.4536377224
128,1,2004,Net Biome Productivity,Fire: Medium Severity,-1482015.3393519628
128,1,2004,Net Biome Productivity,Fire: Low Severity,-2050372.4111467751
128,1,2004,Net Biome Productivity,Forest Harvest: Forest Clearcut,-35711998.00837039
128,1,2004,Net Biome Productivity,Forest Harvest: Forest Selection,-2495151.1109500015
128,1,2004,Net Biome Productivity,Ag Expansion: Pasture,-1075669.1061790679
128,1,2004,Net Biome Productivity,Ag Expansion: Cropland,-545464.8230626237
128,1,2005,LULC: Harvest [Type],Urbanization: Open,836963.9298187115
128,1,2005,LULC: Harvest [Type],Urbanization: Low,610532.6089919333
128,1,2005,LULC: Harvest [Type],Urbanization: Medium,310560.593214895
128,1,2005,LULC: Harvest [Type],Urbanization: High,100776.52836519163
128,1,2005,LULC: Harvest [Type],Forest Harvest: Forest Clearcut,36267711.38868001
128,1,2005,LULC: Harvest [Type],Forest Harvest: Forest Selection,1999664.1267469802
128,1,2005,LULC: Harvest [Type],Ag Expansion: Pasture,535658.0294362378
128,1,2005,LULC: Harvest [Type],Ag Expansion: Cropland,302271.66386447934
128,1,2005,LULC: Emission [Type],Urbanization: Open,2318550.2625755225
128,1,2005,LULC: Emission [Type],Urbanization: Low,1689647.4267487752
128,1,2005,LULC: Emission [Type],Urbanization: Medium,910318.8961570824
128,1,2005,LULC: Emission [Type],Urbanization: High,299629.3895027613
128,1,2005,LULC: Emission [Type],Fire: High Severity,799377.6154319934
128,1,2005,LULC: Emission [Type],Fire: Medium Severity,411531.9805368714
128,1,2005,LULC: Emission [Type],Fire: Low Severity,703498.370649119
128,1,2005,LULC: Emission [Type],Ag Expansion: Pasture,584476.7818125667
128,1,2005,LULC: Emission [Type],Ag Expansion: Cropland,367473.34453435784
128,1,2005,LULC: Transfer [Type],Fire: High Severity,1550153.8157263165
128,1,2005,LULC: Transfer [Type],Fire: Medium Severity,483896.43365274917
128,1,2005,LULC: Transfer [Type],Fire: Low Severity,506025.7655197995
128,1,2005,LULC: Transfer [Type],Forest Harvest: Forest Clearcut,4142624.7036032164
128,1,2005,LULC: Mortality [Type],Fire: High Severity,1705428.556009983
128,1,2005,LULC: Mortality [Type],Fire: Medium Severity,978007.5170401741
128,1,2005,LULC: Mortality [Type],Fire: Low Severity,1745392.2894162766
128,1,2005,LULC: Mortality [Type],Insect: High Severity,5708799.867232895
128,1,2005,LULC: Mortality [Type],Insect: Medium Severity,4974152.0924818665
128,1,2005,LULC: Mortality [Type],Insect: Low Severity,7443943.7520711245
128,1,2005,LULC: Mortality [Type],Forest Harvest: Forest Clearcut,37678263.651629075
128,1,2005,LULC: Mortality [Type],Forest Harvest: Forest Selection,1998739.3920447177
128,1,2005,LULC: Mortality [Type],Ag Expansion: Pasture,275047.5224104096
128,1,2005,LULC: Mortality [Type],Ag Expansion: Cropland,171918.3357554695
128,1,2005,Net Biome Productivity,Urbanization: Open,-3155514.1923942342
128,1,2005,Net Biome Productivity,Urbanization: Low,-2300180.0357407085
128,1,2005,Net Biome Productivity,Urbanization: Medium,-1220879.4893719773
128,1,2005,Net Biome Productivity,Urbanization: High,-400405.9178679529
128,1,2005,Net Biome Productivity,Fire: High Severity,-799377.6154319934
128,1,2005,Net Biome Productivity,Fire: Medium Severity,-411531.9805368714
