ScenarioID,Iteration,Timestep,TransitionGroupID,Amount
128,1,2003,Fire: High Severity [Type],191100
128,1,2003,Fire: Medium Severity [Type],276400
128,1,2003,Fire: Low Severity [Type],803600
128,1,2003,Insect: High Severity [Type],577000
128,1,2003,Insect: Medium Severity [Type],684000
128,1,2003,Insect: Low Severity [Type],2355600
128,1,2003,Forest Harvest: Forest Clearcut [Type],1040900
128,1,2003,Forest Harvest: Forest Selection [Type],97200
128,1,2003,Ag Expansion: Pasture [Type],39100
128,1,2003,Ag Expansion: Cropland [Type],239300
128,1,2003,Ag Expansion,278400
128,1,2003,Ag Contraction,339500
128,1,2003,Urbanization,267700
128,1,2003,Intensification,34700
128,1,2003,Fire,1271100
128,1,2003,Insect,3616600
128,1,2003,Forest Harvest,1138100
128,1,2003,Ag Contraction: Alder/Maple Group [Type],9900
128,1,2003,Ag Contraction: Aspen/Birch Group [Type],11400
128,1,2003,Ag Contraction: California Mixed Conifer Group [Type],9100
128,1,2003,Ag Contraction: Douglas-fir Group [Type],9100
128,1,2003,Ag Contraction: Elm/Ash/Cottonwood Group [Type],11500
128,1,2003,Ag Contraction: Exotic Hardwoods Group [Type],9700
128,1,2003,Ag Contraction: Exotic Softwoods Group [Type],9200
128,1,2003,Ag Contraction: Fir/Spruce/Mountain Hemlock Group [Type],9800
128,1,2003,Ag Contraction: Hemlock/Sitka Spruce Group [Type],10400
128,1,2003,Ag Contraction: Loblolly/Shortleaf Pine Group [Type],17800
128,1,2003,Ag Contraction: Lodgepole Pine Group [Type],10700
128,1,2003,Ag Contraction: Longleaf/Slash Pine Group [Type],11500
128,1,2003,Ag Contraction: Maple/Beech/Birch Group [Type],9500
128,1,2003,Ag Contraction: Oak/Gum/Cypress Group [Type],12600
128,1,2003,Ag Contraction: Oak/Hickory Group [Type],18800
128,1,2003,Ag Contraction: Oak/Pine Group [Type],12700
128,1,2003,Ag Contraction: Other Western Hardwoods Group [Type],11700
128,1,2003,Ag Contraction: Other Western Softwood Group [Type],7200
