ScenarioID,Iteration,Timestep,StockGroupID,Amount
128,1,2004,Atmosphere: CO2 [Type],34475900.97017089
128,1,2004,Atmosphere: CO [Type],3445665.109026809
128,1,2004,Biomass: Coarse Root [Type],2801192180.70963
128,1,2004,Biomass: Fine Root [Type],478949994.11062026
128,1,2004,Biomass: Foliage [Type],907366546.1476227
128,1,2004,Biomass: Merchantable [Type],8265062073.075607
128,1,2004,Biomass: Other Wood [Type],4450806685.447887
128,1,2004,DOM: Aboveground Fast [Type],1336824590.3796387
128,1,2004,DOM: Aboveground Medium [Type],1418451876.1388986
128,1,2004,DOM: Aboveground Slow [Type],7069782592.891301
128,1,2004,DOM: Aboveground Very Fast [Type],869928168.1517422
128,1,2004,DOM: Belowground Fast [Type],234010356.56698784
128,1,2004,DOM: Belowground Slow [Type],23533831473.729103
128,1,2004,DOM: Belowground Very Fast [Type],142819150.92039156
128,1,2004,DOM: Black Carbon [Type],0
128,1,2004,DOM: Snag Branch [Type],258835547.4043015
128,1,2004,DOM: Snag Stem [Type],803374594.5157601
128,1,2004,Forestry Sector [Type],112995819.50932364
128,1,2004,Atmosphere [Type],-755937536.4777856
128,1,2004,Black Carbon [Type],0
128,1,2004,Peat [Type],0
128,1,2004,Biomass: Aboveground,13623235304.671118
128,1,2004,Biomass: Belowground,3280142174.82025
128,1,2004,Biomass: Total,16903377479.491373
128,1,2004,DOM: Aboveground,1062210141.9200611
128,1,2004,DOM: Belowground,34605648208.77807
128,1,2004,DOM: Total,35667858350.69812
128,1,2004,Total Ecosystem,52571235830.189514
128,1,2004,DOM: Deadwood,2714672374.6259494
128,1,2004,DOM: Litter,9276535351.422674
128,1,2004,DOM: Soil,23676650624.6495
128,1,2004,DOM: Standing Deadwood,1062210141.9200611
128,1,2004,DOM: Down Deadwood,1652462232.7058866
128,1,2005,Atmosphere: CH4 [Type],472935.8503321763
128,1,2005,Atmosphere: CO2 [Type],42448744.586544454
128,1,2005,Atmosphere: CO [Type],4242402.427977939
128,1,2005,Biomass: Coarse Root [Type],2834620053.400515
128,1,2005,Biomass: Fine Root [Type],469959742.06054807
128,1,2005,Biomass: Foliage [Type],903480770.0238459
128,1,2005,Biomass: Merchantable [Type],8388235235.587237
128,1,2005,Biomass: Other Wood [Type],4496815093.76901
128,1,2005,DOM: Aboveground Fast [Type],1328893014.3105352
128,1,2005,DOM: Aboveground Medium [Type],1397659890.0913327
128,1,2005,DOM: Aboveground Slow [Type],7054345621.555835
128,1,2005,DOM: Aboveground Very Fast [Type],873676203.2842972
128,1,2005,DOM: Belowground Fast [Type],231110134.67387548
128,1,2005,DOM: Belowground Slow [Type],23533397596.724007
128,1,2005,DOM: Belowground Very Fast [Type],142751262.56619158
128,1,2005,DOM: Black Carbon [Type],0
128,1,2005,DOM: Snag Branch [Type],262768080.9160651
128,1,2005,DOM: Snag Stem [Type],818302076.7969165
128,1,2005,Forestry Sector [Type],153948731.47318256
128,1,2005,Atmosphere [Type],-965499447.246657
128,1,2005,Black Carbon [Type],0
128,1,2005,Peat [Type],0
128,1,2005,Biomass: Aboveground,13788531099.380112
128,1,2005,Biomass: Belowground,3304579795.461061
128,1,2005,Biomass: Total,17093110894.84116
128,1,2005,DOM: Aboveground,1081070157.7129822
128,1,2005,DOM: Belowground,34561833723.20603
128,1,2005,DOM: Total,35642903880.919
128,1,2005,Total Ecosystem,52736014775.76018
128,1,2005,DOM: Deadwood,2709840182.4781895
128,1,2005,DOM: Litter,9256914839.150671
128,1,2005,DOM: Soil,23676148859.290203
128,1,2005,DOM: Standing Deadwood,1081070157.7129822
128,1,2005,DOM: Down Deadwood,1628770024.765208
128,1,2006,Atmosphere: CH4 [Type],549680.7422664469
128,1,2006,Atmosphere: CO2 [Type],49326385.40048989
128,1,2006,Atmosphere: CO [Type],4929710.784678225
128,1,2006,Biomass: Coarse Root [Type],2868701691.605159
128,1,2006,Biomass: Fine Root [Type],469934564.0364058
128,1,2006,Biomass: Foliage [Type],914874618.6120363
128,1,2006,Biomass: Merchantable [Type],8514462463.928992
128,1,2006,Biomass: Other Wood [Type],4543119281.362126
128,1,2006,DOM: Aboveground Fast [Type],1318655163.4327698
128,1,2006,DOM: Aboveground Medium [Type],1377084756.1557233
128,1,2006,DOM: Aboveground Slow [Type],7037044504.858248
128,1,2006,DOM: Aboveground Very Fast [Type],854872592.5971619
128,1,2006,DOM: Belowground Fast [Type],228112187.64606634
128,1,2006,DOM: Belowground Slow [Type],23534914433.636826
128,1,2006,DOM: Belowground Very Fast [Type],138898907.71575782
128,1,2006,DOM: Black Carbon [Type],0
128,1,2006,DOM: Snag Branch [Type],266966929.10493696
128,1,2006,DOM: Snag Stem [Type],835349619.8480972
128,1,2006,Forestry Sector [Type],191586816.29195175
128,1,2006,Atmosphere [Type],-1172240958.1306615
128,1,2006,Black Carbon [Type],0
128,1,2006,Peat [Type],0
128,1,2006,Biomass: Aboveground,13972456363.903162
128,1,2006,Biomass: Belowground,3338636255.6415644
128,1,2006,Biomass: Total,17311092619.54473
128,1,2006,DOM: Aboveground,1102316548.9530337
128,1,2006,DOM: Belowground,34489582546.04258
128,1,2006,DOM: Total,35591899094.99561
128,1,2006,Total Ecosystem,52902991714.54036
128,1,2006,DOM: Deadwood,2707513492.754825
128,1,2006,DOM: Litter,9210572260.888184
128,1,2006,DOM: Soil,23673813341.35259
128,1,2006,DOM: Standing Deadwood,1102316548.9530337
128,1,2006,DOM: Down Deadwood,1605196943.8017898
128,1,2007,Atmosphere: CH4 [Type],647930.3994589167
128,1,2007,Atmosphere: CO2 [Type],58158905.72689899
128,1,2007,Atmosphere: CO [Type],5812540.004995172
128,1,2007,Biomass: Coarse Root [Type],2894255748.143355
128,1,2007,Biomass: Fine Root [Type],451503148.46796024
128,1,2007,Biomass: Foliage [Type],894079636.221202
128,1,2007,Biomass: Merchantable [Type],8623561592.11602
128,1,2007,Biomass: Other Wood [Type],4567688892.5791025
128,1,2007,DOM: Aboveground Fast [Type],1314624117.5097954
128,1,2007,DOM: Aboveground Medium [Type],1359355594.4485564
128,1,2007,DOM: Aboveground Slow [Type],7015831537.420387
128,1,2007,DOM: Aboveground Very Fast [Type],860253311.3064572
128,1,2007,DOM: Belowground Fast [Type],226337235.1658094
128,1,2007,DOM: Belowground Slow [Type],23526664586.60475
128,1,2007,DOM: Belowground Very Fast [Type],140196357.64505228
128,1,2007,DOM: Black Carbon [Type],0
128,1,2007,DOM: Snag Branch [Type],270162871.11362267
128,1,2007,DOM: Snag Stem [Type],849381767.6177155
128,1,2007,Forestry Sector [Type],230892568.8773322
128,1,2007,Atmosphere [Type],-1325314151.6288044
128,1,2007,Black Carbon [Type],0
128,1,2007,Peat [Type],0
128,1,2007,Biomass: Aboveground,14085330120.916323
128,1,2007,Biomass: Belowground,3345758896.6113153
128,1,2007,Biomass: Total,17431089017.527637
128,1,2007,DOM: Aboveground,1119544638.731338
128,1,2007,DOM: Belowground,34443262740.10082
128,1,2007,DOM: Total,35562807378.832184
128,1,2007,Total Ecosystem,52993896396.35978
128,1,2007,DOM: Deadwood,2705237468.345704
128,1,2007,DOM: Litter,9190708966.236643
128,1,2007,DOM: Soil,23666860944.249805
128,1,2007,DOM: Standing Deadwood,1119544638.731338
128,1,2007,DOM: Down Deadwood,1585692829.614366
128,1,2008,Atmosphere: CH4 [Type],714251.3584303466
128,1,2008,Atmosphere: CO2 [Type],64106020.97649846
128,1,2008,Atmosphere: CO [Type],6406879.936068262
128,1,2008,Biomass: Coarse Root [Type],2909992149.8851924
128,1,2008,Biomass: Fine Root [Type],459415678.3437662
128,1,2008,Biomass: Foliage [Type],909802547.6005317
128,1,2008,Biomass: Merchantable [Type],8694544345.191227
128,1,2008,Biomass: Other Wood [Type],4582748128.081502
128,1,2008,DOM: Aboveground Fast [Type],1345478895.3508437
128,1,2008,DOM: Aboveground Medium [Type],1348658127.138744
128,1,2008,DOM: Aboveground Slow [Type],7001237749.794599
128,1,2008,DOM: Aboveground Very Fast [Type],884573324.9302953
128,1,2008,DOM: Belowground Fast [Type],232719961.27502978
128,1,2008,DOM: Belowground Slow [Type],23522158793.41844
128,1,2008,DOM: Belowground Very Fast [Type],145492636.68247327
128,1,2008,DOM: Black Carbon [Type],0
128,1,2008,DOM: Snag Branch [Type],275179557.8547388
128,1,2008,DOM: Snag Stem [Type],864058791.6331261
128,1,2008,Forestry Sector [Type],316097990.3075297
128,1,2008,Atmosphere [Type],-1591990641.3850687
128,1,2008,Black Carbon [Type],0
128,1,2008,Peat [Type],0
128,1,2008,Biomass: Aboveground,14187095020.873272
128,1,2008,Biomass: Belowground,3369407828.228957
