ScenarioID,Iteration,Timestep,StateClassID,StateLabelXID,StateLabelYID,Amount
128,1,2002,Forest: Oak/Pine Group,Forest,Oak/Pine Group,8353600
128,1,2002,Forest: Oak/Hickory Group,Forest,Oak/Hickory Group,69680600
128,1,2002,Forest: Oak/Gum/Cypress Group,Forest,Oak/Gum/Cypress Group,11636800
128,1,2002,Forest: Elm/Ash/Cottonwood Group,Forest,Elm/Ash/Cottonwood Group,5576900
128,1,2002,Forest: Maple/Beech/Birch Group,Forest,Maple/Beech/Birch Group,24689700
128,1,2002,Forest: Aspen/Birch Group,Forest,Aspen/Birch Group,15016100
128,1,2002,Forest: Alder/Maple Group,Forest,Alder/Maple Group,783700
128,1,2002,Forest: Western Oak Group,Forest,Western Oak Group,6443200
128,1,2002,Forest: Tanoak/Laurel Group,Forest,Tanoak/Laurel Group,864400
128,1,2002,Forest: Other Western Hardwoods Group,Forest,Other Western Hardwoods Group,659000
128,1,2002,Forest: Tropical Hardwoods Group,Forest,Tropical Hardwoods Group,118700
128,1,2002,Forest: Exotic Hardwoods Group,Forest,Exotic Hardwoods Group,107600
128,1,2002,Shrubland: Post Fire Shrub,Shrubland,Post Fire Shrub,106600
128,1,2003,Water: All,Water,All,42408200
128,1,2003,Snow/Ice: All,Snow/Ice,All,53200
128,1,2003,Developed: Open Space,Developed,Open Space,3700700
128,1,2003,Developed: Low Intensity,Developed,Low Intensity,4507700
128,1,2003,Developed: Medium Intensity,Developed,Medium Intensity,2971100
128,1,2003,Developed: High Intensity,Developed,High Intensity,1175500
128,1,2003,Developed: Transportation,Developed,Transportation,28211400
128,1,2003,Barren: All,Barren,All,8196700
128,1,2003,Shrubland: All,Shrubland,All,153144400
128,1,2003,Grassland: All,Grassland,All,99560100
128,1,2003,Agriculture: Pasture,Agriculture,Pasture,54547000
128,1,2003,Agriculture: Cropland,Agriculture,Cropland,126550800
128,1,2003,Wetland: Woody,Wetland,Woody,4818000
128,1,2003,Wetland: Herbaceous,Wetland,Herbaceous,9503600
128,1,2003,Forest: White/Red/Jack Pine Group,Forest,White/Red/Jack Pine Group,3100100
128,1,2003,Forest: Spruce/Fir Group,Forest,Spruce/Fir Group,6559600
128,1,2003,Forest: Longleaf/Slash Pine Group,Forest,Longleaf/Slash Pine Group,7372100
128,1,2003,Forest: Loblolly/Shortleaf Pine Group,Forest,Loblolly/Shortleaf Pine Group,29671600
128,1,2003,Forest: Pinyon/Juniper Group,Forest,Pinyon/Juniper Group,16738400
128,1,2003,Forest: Douglas-fir Group,Forest,Douglas-fir Group,20575900
128,1,2003,Forest: Ponderosa Pine Group,Forest,Ponderosa Pine Group,11958800
128,1,2003,Forest: Western White Pine Group,Forest,Western White Pine Group,52400
128,1,2003,Forest: Fir/Spruce/Mountain Hemlock Group,Forest,Fir/Spruce/Mountain Hemlock Group,14443300
128,1,2003,Forest: Lodgepole Pine Group,Forest,Lodgepole Pine Group,6429200
128,1,2003,Forest: Hemlock/Sitka Spruce Group,Forest,Hemlock/Sitka Spruce Group,1704800
128,1,2003,Forest: Western Larch Group,Forest,Western Larch Group,173300
128,1,2003,Forest: Redwood Group,Forest,Redwood Group,320900
128,1,2003,Forest: Other Western Softwood Group,Forest,Other Western Softwood Group,965300
128,1,2003,Forest: California Mixed Conifer Group,Forest,California Mixed Conifer Group,4441200
128,1,2003,Forest: Exotic Softwoods Group,Forest,Exotic Softwoods Group,33700
128,1,2003,Forest: Oak/Pine Group,Forest,Oak/Pine Group,8358900
128,1,2003,Forest: Oak/Hickory Group,Forest,Oak/Hickory Group,69637500
128,1,2003,Forest: Oak/Gum/Cypress Group,Forest,Oak/Gum/Cypress Group,11643200
128,1,2003,Forest: Elm/Ash/Cottonwood Group,Forest,Elm/Ash/Cottonwood Group,5584200
128,1,2003,Forest: Maple/Beech/Birch Group,Forest,Maple/Beech/Birch Group,24691200
128,1,2003,Forest: Aspen/Birch Group,Forest,Aspen/Birch Group,15022300
128,1,2003,Forest: Alder/Maple Group,Forest,Alder/Maple Group,794300
128,1,2003,Forest: Western Oak Group,Forest,Western Oak Group,6443500
128,1,2003,Forest: Tanoak/Laurel Group,Forest,Tanoak/Laurel Group,869100
128,1,2003,Forest: Other Western Hardwoods Group,Forest,Other Western Hardwoods Group,671600
128,1,2003,Forest: Tropical Hardwoods Group,Forest,Tropical Hardwoods Group,128700
128,1,2003,Forest: Exotic Hardwoods Group,Forest,Exotic Hardwoods Group,118400
128,1,2003,Shrubland: Post Fire Shrub,Shrubland,Post Fire Shrub,192300
128,1,2004,Water: All,Water,All,42408200
128,1,2004,Snow/Ice: All,Snow/Ice,All,53200
128,1,2004,Developed: Open Space,Developed,Open Space,3799000
128,1,2004,Developed: Low Intensity,Developed,Low Intensity,4584900
128,1,2004,Developed: Medium Intensity,Developed,Medium Intensity,3047600
128,1,2004,Developed: High Intensity,Developed,High Intensity,1201600
128,1,2004,Developed: Transportation,Developed,Transportation,28211400
128,1,2004,Barren: All,Barren,All,8196700
128,1,2004,Shrubland: All,Shrubland,All,153087700
128,1,2004,Grassland: All,Grassland,All,99372100
